"a","s","l"
"BloodPressSuppl","Blood Press. Suppl.","Blood Pressure Supplement"
"BloodPurif","Blood Purif.","Blood Purification"
"BloodRev","Blood Rev.","Blood Reviews"
"Blutalkohol","Blutalkohol","Blutalkohol"
"BMCAnesthesiol","BMC Anesthesiol.","BMC Anesthesiology"
"BMCBiochem","BMC Biochem.","BMC Biochemistry"
"BMCBioinformatics","BMC Bioinformatics","BMC Bioinformatics"
"BMCBiol","BMC Biol.","BMC Biology"
"BMCBiotechnol","BMC Biotechnol.","BMC Biotechnology"
"BMCBloodDisord","BMC Blood Disord.","BMC Blood Disorders"
"BMCCancer","BMC Cancer","BMC Cancer"
"BMCCardiovascDisord","BMC Cardiovasc Disord.","BMC Cardiovascular Disorders"
"BMCCellBiol","BMC Cell Biol.","BMC Cell Biology"
"BMCChemBiol","BMC Chem. Biol.","BMC Chemical Biology"
"BMCClinPathol","BMC Clin. Pathol.","BMC Clinical Pathology"
"BMCClinPharmacol","BMC Clin. Pharmacol.","BMC Clinical Pharmacology"
"BMCComplementAlternMed","BMC Complement. Altern. Med.","BMC Complementary and Alternative Medicine"
"BMCDermatol","BMC Dermatol.","BMC Dermatology"
"BMCDevBiol","BMC Dev. Biol.","BMC Developmental Biology"
"BMCEarNoseThroatDisord","BMC Ear Nose Throat Disord.","BMC Ear, Nose, and Throat Disorders"
"BMCEcol","BMC Ecol.","BMC Ecology"
"BMCEmergMed","BMC Emerg. Med.","BMC Emergency Medicine"
"BMCEndocrDisord","BMC Endocr. Disord.","BMC Endocrine Disorders"
"BMCEvolBiol","BMC Evol. Biol.","BMC Evolutionary Biology"
"BMCFamPract","BMC Fam. Pract.","BMC Family Practice"
"BMCGastroenterol","BMC Gastroenterol.","BMC Gastroenterology"
"BMCGenet","BMC Genet.","BMC Genetics"
"BMCGenomics","BMC Genomics","BMC Genomics"
"BMCGeriatr","BMC Geriatr.","BMC Geriatrics"
"BMCHealthServRes","BMC Health Serv. Res.","BMC Health Services Research"
"BMCImmunol","BMC Immunol.","BMC Immunology"
"BMCInfectDis","BMC Infect. Dis.","BMC Infectious Diseases"
"BMCIntHealthHumRights","BMC Int. Health Hum. Rights","BMC International Health and Human Rights"
"BMCMedEduc","BMC Med. Educ.","BMC Medical Education"
"BMCMedEthics","BMC Med. Ethics","BMC Medical Ethics"
"BMCMedGenet","BMC Med. Genet.","BMC Medical Genetics"
"BMCMedImaging","BMC Med. Imaging","BMC Medical Imaging"
"BMCMedInformDecisMak","BMC Med. Inform. Decis. Mak.","BMC Medical Informatics and Decision Making"
"BMCMedResMethodol","BMC Med. Res. Methodol.","BMC Medical Research Methodology"
"BMCMed","BMC Med.","BMC Medicine"
"BMCMicrobiol","BMC Microbiol.","BMC Microbiology"
"BMCMolBiol","BMC Mol. Biol.","BMC Molecular Biology"
"BMCMusculoskeletDisord","BMC Musculoskelet. Disord.","BMC Musculoskeletal Disorders"
"BMCNephrol","BMC Nephrol.","BMC Nephrology"
"BMCNeurol","BMC Neurol.","BMC Neurology"
"BMCNeurosci","BMC Neurosci.","BMC Neuroscience"
"BMCNuclMed","BMC Nucl. Med.","BMC Nuclear Medicine"
"BMCNurs","BMC Nurs.","BMC Nursing"
"BMCOphthalmol","BMC Ophthalmol.","BMC Ophthalmology"
"BMCOralHealth","BMC Oral. Health","BMC Oral health"
"BMCPalliatCare","BMC Palliat. Care","BMC Palliative care"
"BMCPediatr","BMC Pediatr.","BMC Pediatrics"
"BMCPharmacol","BMC Pharmacol.","BMC Pharmacology"
"BMCPhysiol","BMC Physiol.","BMC Physiology"
"BMCPlantBiol","BMC Plant Biol.","BMC Plant Biology"
"BMCPregnancyChildbirth","BMC Pregnancy Childbirth","BMC Pregnancy and Childbirth"
"BMCPsychiatry","BMC Psychiatry","BMC Psychiatry"
"BMCPublicHealth","BMC Public Health","BMC Public Health"
"BMCPulmMed","BMC Pulm. Med.","BMC Pulmonary Medicine"
"BMCStructBiol","BMC Struct. Biol.","BMC Structural Biology"
"BMCSurg","BMC Surg.","BMC Surgery"
"BMCUrol","BMC Urol.","BMC Urology"
"BMCWomensHealth","BMC Womens Health","BMC Women's Health"
"BMJ","BMJ","BMJ"
"Boc","Boc.","Bocagiana"
"BolMusMunFunchal","Bol. Mus. Mun. Funchal.","Boletim do Museu Municipal do Funchal"
"BolChilParasitol","Bol. Chil. Parasitol.","Boletin Chileno de Parastologia"
"BolEstudMedBiol","Bol. Estud. Med. Biol.","Boletin de Estudios Medicos Y Biologicos"
"BolOficinaSanitPanam","Bol. Oficina Sanit. Panam.","Boletin de la Oficina Sanitaria Panamericana"
"BolMedHospInfantMex","Bol. Med. Hosp. Infant. Mex.","Boletin Medico del Hospital Infantil de Mexico"
"BolAsocMedPR","Bol. Asoc. Med. P. R.","Boletin- Asociacion Medica de Puerto Rico"
"BollChimFarm","Boll. Chim. Farm.","Bollettino Chimico Farmaceutico"
"BollIstSieroterMilan","Boll. Ist. Sieroter Milan.","Bollettino Dell Istituto Sieroterapico Milanese"
"BollSocItalBiolSper","Boll. Soc. Ital. Biol. Sper.","Bollettino- Societa Italiana Biologia Sperimentale"
"Bone","Bone","Bone"
"BoneMiner","Bone Miner.","Bone and Mineral"
"BoneMarrowTransplant","Bone Marrow Transplant","Bone Marrow Transplantation"
"BostonMedSurgJ","Boston Med. Surg. J.","Boston Medical and Surgical Journal"
"BotMar","Bot. Mar.","Botanica Marina"
"BotGaz","Bot. Gaz.","Botanical Gazette"
"BotJLineanSoc","Bot. J. Linean Soc.","Botanical Journal of the Linnean Society"
"BoundaryLayerMeteorol","Boundary-Layer Meteorol.","Boundary-Layer Meteorology"
"Brain","Brain","Brain"
"BrainCogn","Brain Cogn.","Brain and Cognition"
"BrainDev","Brain Dev.","Brain and Development"
"BrainLang","Brain Lang.","Brain and Language"
"BrainBehavEvol","Brain Behav. Evol.","Brain Behavior and Evolution"
"BrainInj","Brain Inj.","Brain Injury"
"BrainPathol","Brain Pathol.","Brain Pathology"
"BrainRes","Brain Res.","Brain Research"
"BrainResBull","Brain Res. Bull.","Brain Research Bulletin"
"BrainResProt","Brain Res. Prot.","Brain Research Protocols"
"BrainResBrainResRev","Brain Res. Brain Res. Rev.","Brain Research. Brain Research Reviews"
"BrainResCognBrainRes","Brain Res. Cogn. Brain Res.","Brain Research. Cognitive Brain Research"
"BrainResDevBrainRes","Brain Res. Dev. Brain Res.","Brain Research. Developmental Brain Research"
"BrainResMolBrainRes","Brain Res. Mol. Brain Res.","Brain Research. Molecular Brain Research"
"BrainTopogr","Brain Topogr.","Brain Topography"
"BrainBehavImmun","Brain Behav. Immun.","Brain, Behavior, and Immunity"
"BrainScan","BrainScan","BrainScan"
"BratislLekListy","Bratisl. Lek. Listy.","Bratislavske Lekarske Listy"
"BrazJInfectDis","Braz. J. Infect. Dis.","Brazilian Journal of Infectious Diseases"
"BrazJMedBiolRes","Braz. J. Med. Biol. Res.","Brazilian Journal of Medical and Biological Research"
"BreastCancerRes","Breast Cancer Res.","Breast Cancer Research"
"BreastCancerResTreat","Breast Cancer Res. Treat.","Breast Cancer Research and Treatment"
"BriefBioinform","Brief. Bioinform.","Briefings in Bioinformatics"
"BrDentJ","Br. Dent. J.","British Dental Journal"
"BrHeartJ","Br. Heart J.","British Heart Journal"
"BrHomeopathJ","Br. Homeopath. J","British Homeopathic Journal"
"BrJAddict","Br. J. Addict.","British Journal of Addiction"
"BrJAnaesth","Br. J. Anaesth.","British Journal of Anaesthesia"
"BrJAudiol","Br. J. Audiol.","British Journal of Audiology"
"BrJBiomedSci","Br. J. Biomed. Sci.","British Journal of Biomedical Science"
"BrJCancer","Br. J. Cancer","British Journal of Cancer"
"BrJCancerSuppl","Br. J. Cancer Suppl.","British Journal of Cancer. Supplement"
"BrJClinPharmacol","Br. J. Clin. Pharmacol.","British Journal of Clinical Pharmacology"
"BrJClinPract","Br. J. Clin. Pract.","British Journal of Clinical Practice"
"BrJClinPractSympSuppl","Br. J. Clin. Pract. Symp. Suppl.","British Journal of Clinical Practice. Symposium Supplement"
"BrJClinPsychol","Br. J. Clin. Psychol.","British Journal of Clinical Psychology"
"BrJDermatol","Br. J. Dermatol.","British Journal of Dermatology"
"BrJDisordCommun","Br. J. Disord. Commun.","British Journal of Disorders of Communication"
"BrJEducPsychol","Br. J. Educ. Psychol.","British Journal of Educational Psychology"
"BrJGenPract","Br. J. Gen. Pract.","British Journal of General Practice"
"BrJHaematol","Br. J. Haematol.","British Journal of Haematology"
"BrJHospMed","Br. J. Hosp. Med.","British Journal of Hospital Medicine"
"BrJIndMed","Br. J. Ind. Med.","British Journal of Industrial Medicine"
"BrJMathStatPsychol","Br. J. Math. Stat. Psychol.","British Journal of Mathematical and Statistical Psychology"
"BrJMedPsychol","Br. J. Med. Psychol.","British Journal of Medical Psychology"
"BrJNeurosurg","Br. J. Neurosurg.","British Journal of Neurosurgery"
"BrJNutr","Br. J. Nutr.","British Journal of Nutrition"
"BrJObstetGynaecol","Br. J. Obstet. Gynaecol.","British Journal of Obstetrics and Gynaecology"
"BrJOphthalmol","Br. J. Ophthalmol.","British Journal of Ophthalmology"
"BrJOralMaxillofacSurg","Br. J. Oral. Maxillofac. Surg.","British Journal of Oral and Maxillofacial Surgery"
"BrJOrthod","Br. J. Orthod.","British Journal of Orthodontics"
"BrJPharmacol","Br. J. Pharmacol.","British Journal of Pharmacology"
"BrJPlastSurg","Br. J. Plast. Surg.","British Journal of Plastic Surgery"
"BrJPsychiatry","Br. J. Psychiatry","British Journal of Psychiatry"
"BrJPsychol","Br. J. Psychol.","British Journal of Psychology"
"BrJRadiol","Br. J. Radiol.","British Journal of Radiology"
"BrJRheumatol","Br. J. Rheumatol.","British Journal of Rheumatology"
"BrJSocPsychol","Br. J. Soc. Psychol.","British Journal of Social Psychology"
"BrJSociol","Br. J. Sociol.","British Journal of Sociology"
"BrJSportsMed","Br. J. Sports Med.","British Journal of Sports Medicine"
"BrJSurg","Br. J. Surg.","British Journal of Surgery"
"BrJUrol","Br. J. Urol.","British Journal of Urology"
"BrMedBull","Br. Med. Bull.","British Medical Bulletin"
"BrMedJ","Br. Med. J.","British Medical Journal"
"BrPoultSci","Br. Poult. Sci.","British Poultry Science"
"BrVetJ","Br. Vet. J.","British Veterinary Journal"
"BrJPsychiatrySuppl","Br. J. Psychiatry Suppl.","Britsh Jouranl of Psychiatry. Supplement"
"BJVM","BJVM","Bulgarian Journal of Veterinary Medicine"
"BullAcadNatlMed","Bull. Acad. Natl. Med.","Bulletin de l Academie Nationale de Medecine"
"BullAssocAnatNancy","Bull. Assoc. Anat.","Bulletin de l Association des Anatomistes"
"BullInstPasteur","Bull. Inst. Pasteur.","Bulletin de l'Institut Pasteur"
"BullSocBelgeOphthalmol","Bull. Soc. Belge. Ophthalmol.","Bulletin de la Societe Belge d Ophthalmologie"
"BullSocPatholExot","Bull. Soc. Pathol. Exot.","Bulletin de la Societe de Pathologie Exotique"
"BullSocPatholExotFiliales","Bull. Soc. Pathol. Exot. Filiales.","Bulletin de la Societe de Pathologie Exotique et de ses Filiales"
"BullSocSciMedGrandDucheLuxemb","Bull. Soc. Sci. Med. Grand Duche. Luxemb.","Bulletin de la Societe des Sciences Medicales du Grand Duche de Luxembourg"
"BullSocEntomolFr","Bull. Soc. Entomol. Fr.","Bulletin de la Societe Francaise d'Entomologie"
"BullCancerParis","Bull. Cancer","Bulletin du Cancer"
"BullCancerRadiother","Bull. Cancer Radiother.","Bulletin du Cancer. Radiotherapie"
"BullGroupIntRechSciStomatolOdontol","Bull. Group Int. Rech. Sci. Stomatol Odontol.","Bulletin du Groupement International pour la Recherche Scientifique en Stomatologie et Odontologie"
"BullJardBotNatBelg","Bull. Jard. Bot. Nat. Belg.","Bulletin du Jardin Botanique National de Belgique"
"BullMemAcadRMedBelg","Bull. Mem. Acad. R. Med. Belg.","Bulletin et Memoires de l Academie Royale de Medecine de Belgique"
"BullEnvironContamToxicol","Bull. Environ. Contam. Toxicol.","Bulletin of Environmental Contamination and Toxicology"
"BullHokkaidoNatAgricExperStation","Bull. Hokkaido Nat. Agric. Exper. Station","Bulletin of Hokkaido National Agriculture Experimental Station"
"BullMarSci","Bull. Mar. Sci.","Bulletin of Marine Science"
"bms","Bull. Mar. Sci.","Bulletin of Marine Sciences"
"BullMathBiol","Bull. Math. Biol.","Bulletin of Mathematical Biology"
"BullPureApplSci","Bull. Pure Appl. Sci.","Bulletin of Pure and Applied Sciences"
"BullAmAcadPsychiatryLaw","Bull. Am. Acad. Psychiatry Law","Bulletin of the American Academy of Psychiatry and the Law"
"BullChemSocJapan","Bull. Chem. Soc. Japan","Bulletin of the Chemical Society of Japan"
"BullChestDisResInstKyotoUniv","Bull. Chest. Dis. Res. Inst. Kyoto Univ.","Bulletin of the Chest Disease Research Institute, Kyoto University"
"BullEcolSocAm","Bull. Ecol. Soc. Am.","Bulletin of the Ecological Society of America"
"BullEntomolSocAm","Bull. Entomol. Soc. Am.","Bulletin of the Entomological Society of America"
"bfrbc","Bull. Fish. Res. Bd. Canada.","Bulletin of the Fisheries Resource Board of Canada"
"BullHistMed","Bull. Hist. Med.","Bulletin of the History of Medicine"
"BullHospJtDis","Bull. Hosp. Jt. Dis.","Bulletin of the Hospital for Joint Diseases"
"BullHospJtDisOrthopInst","Bull. Hosp. Jt. Dis. Orthop. Inst.","Bulletin of the Hospital for Joint Diseases Orthopaedic Institute"
"BullInstMaritTropGdynia","Bull. Inst. Marit. Trop. Gdynia.","Bulletin of the Institute of Maritime and Tropical Medicine in Gdynia"
"BullIntUnionTubercLungDis","Bull. Int. Union Tuberc Lung Dis.","Bulletin of the International Union Against Tuberculosis and Lung Disease"
"BullMedLibrAssoc","Bull. Med. Libr. Assoc.","Bulletin of the Medical Library Association"
"BullMenningerClin","Bull. Menninger. Clin.","Bulletin of the Menninger Clinic"
"BullMoscSocNaturBiolSer","Bull. Mosc. Soc. Natur. Biol. Ser.","Bulletin of the Moscow Society of Naturalists Biological Series"
"BullNatInstAgricSci","Bull. Nat. Inst. Agric. Sci.","Bulletin of the National Institute of Agricultural Sciences"
"BullNYAcadMed","Bull. N. Y. Acad. Med.","Bulletin of the New York Academy of Medicine"
"BullOsakaMedColl","Bull. Osaka. Med. Coll.","Bulletin of the Osaka Medical College"
"BullPanAmHealthOrgan","Bull. Pan. Am. Health Organ.","Bulletin of the Pan American Health Organization"
"BullWorldHealthOrgan","Bull. World. Health. Organ.","Bulletin of the World Health Organization"
"BullTokyoMedDentUniv","Bull. Tokyo Med. Dent. Univ.","Bulletin of Tokyo Medical and Dental University"
"BullNarc","Bull. Narc.","Bulletin on Narcotics"
"BullRheumDis","Bull. Rheum. Dis.","Bulletin on the Rheumatic Diseases"
"Burns","Burns","Burns"
"BullMoscSocNaturBiolSer","Bull. Mosc. Soc. Natur. Biol. Ser.","Byulleten' Moskovskogo Obshchestva Ispytatelei Prirody Otdel Biologicheskii"
"CACancerJClin","CA Cancer J. Clin.","CA: A Cancer Journal for Clinicians"
"Caduceus","Caduceus","Caduceus"
"CahAnesthesiol","Cah. Anesthesiol.","Cahiers d Anesthesiologie"
"CahSociolDemogrMed","Cah. Sociol. Demogr. Med.","Cahiers de Sociologie et de Demographie Medicales"
"CalcifTissueInt","Calcif. Tissue Int.","Calcified Tissue International"
"CanAssocRadiolJ","Can. Assoc. Radiol. J.","Canadian Association of Radiologists Journal"
"cafsacrd","CAFSAC Res. Doc.","Canadian Atlantic Fisheries Scientific Advisory Committee Research Document"
"cbfas","Can. Bull. Fish. Aquat. Sci.","Canadian Bulletin of Fisheries and Aquatic Sciences"
"cdrfas","Can. Data Rep. Fish. Aquat. Sci.","Canadian Data Report of Fisheries and Aquatic Sciences"
"cdrhos","Can. Data Rep. Hydrogr. Ocean Sci.","Canadian Data Report of Hydrography and Ocean Sciences"
"CanDisWklyRep","Can. Dis. Wkly Rep.","Canadian Diseases Weely Report"
"CanFieldNat","Can. Field Nat.","Canadian Field Naturalist"
"CanGeotechJ","Can. Geotech. J.","Canadian Geotechnical Journal"
"CanJAgrEcon","Can. J. Agricult. Econ.","Canadian Journal of Agricultural Economics"
"CanJAnaesth","Can. J. Anaesth.","Canadian Journal of Anaesthesia"
"CanJBot","Can. J. Bot.","Canadian Journal of Botany"
"CanJCardiol","Can. J. Cardiol.","Canadian Journal of Cardiology"
"CanJChem","Can. J. Chem.","Canadian Journal of Chemistry"
"CanJEarthSci","Can. J. Earth. Sci.","Canadian Journal of Earth Sciences"
"CanJFishAquatSci","Can. J. Fish. Aquat. Sci.","Canadian Journal of Fisheries and Aquatic Sciences"
"CanJForestRes","Can. J. Forest Res.","Canadian Journal of Forest Research"
"CanJMicrobiol","Can. J. Microbiol.","Canadian Journal of Microbiology"
"CanJNeurolSci","Can. J. Neurol. Sci.","Canadian Journal of Neurological Sciences"
"CJNR","CJNR","Canadian Journal of Nursing Research"
"CanJNursRes","Can. J. Nurs. Res.","Canadian Journal of Nursing Research"
"CanJOphthalmol","Can. J. Ophthalmol.","Canadian Journal of Ophthalmology"
"CanJPhysiolPharmacol","Can. J. Physiol. Pharmacol.","Canadian Journal of Physiology and Pharmacology"
"CanJPlantSci","Can. J. Plant Sci.","Canadian Journal of Plant Science"
"CanJPsychiatry","Can. J. Psychiatry","Canadian Journal of Psychiatry. Revue Canadienne de Psychiatrie"
"CanJPsychol","Can. J. Psychol.","Canadian Journal of Psychology"
"CanJPublicHealth","Can. J. Public Health","Canadian Journal of Public Health. Revue Canadienne de Sante Publique"
"CanJRemoteSensing","Can. J. Remote Sensing","Canadian Journal of Remote Sensing"
"CanJSoilSci","Can. J. Soil Sci.","Canadian Journal of Soil Science"
"CanJSportSci","Can. J. Sport Sci.","Canadian Journal of Sport Sciences"
"cjs","Can. J. Stat.","Canadian Journal of Statistics"
"CanJSurg","Can. J. Surg.","Canadian Journal of Surgery"
"CanJVetRes","Can. J. Vet. Res.","Canadian Journal of Veterinary Research"
"CanJZool","Can. J. Zool.","Canadian Journal of Zoology"
"cjz","Can. J. Zoo.","Canadian Journal of Zoology"
"cmrfas","Can. Man. Rep. Fish. Aquat. Sci.","Canadian Manuscript Report of Fisheries and Aquatic Sciences"
"CanMedAssocJ","Can. Med. Assoc. J.","Canadian Medical Association Journal"
"CMAJ","CMAJ","Canadian Medical Association Journal/Journal de l'Association Medicale Canadienn"
"CanRespirJ","Can. Respir. J.","Canadian Respiratory Journal"
"cspfas","Can. Spec. Publ. Fish. Aquat. Sci.","Canadian Special Publication of Fisheries and Aquatic Sciences"
"csasrd","Canadian Stock Assessment Secretariat Research Document","Canadian Stock Assessment Secretariat Research Document"
"ctrfas","Can. Tech. Rep. Fish. Aquat. Sci.","Canadian Technical Report of Fisheries and Aquatic Sciences"
"Cancer","Cancer","Cancer"
"CancerMetastasisRev","Cancer Metastasis Rev.","Cancer and Metastasis Reviews"
"CancerBiochemBiophys","Cancer Biochem. Biophys.","Cancer Biochemistry Biophysics"
"CCC","CCC","Cancer Causes and Control"
"CancerCausesControl","Cancer Causes Control","Cancer Causes and Control"
"CancerCell","Cancer Cell","Cancer Cell"
"CancerCells","Cancer Cells","Cancer Cells"
"CancerChemotherBiolResponseModif","Cancer Chemother. Biol. Response Modif.","Cancer Chemotherapy and Biological Response Modifiers"
"CancerChemotherPharmacol","Cancer Chemother. Pharmacol.","Cancer Chemotherapy and Pharmacology"
"CancerCommun","Cancer Commun.","Cancer Communications"
"CancerControl","Cancer Control","Cancer Control"
"CancerDetectPrev","Cancer Detect. Prev.","Cancer Detection and Prevention"
"CancerDetectPrevSuppl","Cancer Detect. Prev. Suppl.","Cancer Detection and Prevention. Supplement"
"CancerEpidemiolBiomarkersPrevent","Cancer Epidemiol. Biomarkers Prevent.","Cancer Epidemiology, Biomarkers & Prevention"
"CancerGenetCytogenet","Cancer Genet. Cytogenet.","Cancer Genetics and Cytogenetics"
"CancerImmunolImmunother","Cancer Immunol. Immunother.","Cancer Immunology and Immunotherapy"
"CancerInvest","Cancer Invest.","Cancer Investigation"
"CancerJ","Cancer J.","Cancer Journal"
"CancerLett","Cancer Lett.","Cancer Letters"
"CancerNurs","Cancer Nurs.","Cancer Nursing"
"CancerPract","Cancer Pract.","Cancer Practice"
"CancerPrevControl","Cancer Prev. Control","Cancer Prevention and Control"
"CancerRes","Cancer Res.","Cancer Research"
"CancerSurv","Cancer Surv.","Cancer Surveys"
"CancerTreatRes","Cancer Treat. Res.","Cancer Treatment and Research"
"CancerTreatRev","Cancer Treat. Rev.","Cancer Treatment Reviews"
"CarbohydrLett","Carbohydr. Lett.","Carbohydrate Letters"
"CarbohydrPolymers","Carbohydr. Polymers","Carbohydrate Polymers"
"CarbohydrRes","Carbohydr. Res.","Carbohydrate Research"
"CarbonBalanceManage","Carbon Balance Manage.","Carbon Balance and Management"
"Carcinogenesis","Carcinogenesis","Carcinogenesis"
"CarcinogComprSurv","Carcinog. Compr. Surv.","Carcinogenesis; A Comprehensive Survey"
"CardiovascDrugsTher","Cardiovasc. Drugs Ther.","Cardiocasular Drugs and Therapy"
"Cardiologia","Cardiologia","Cardiologia"
"Cardiology","Cardiology","Cardiology"
"CardiolClin","Cardiol. Clin.","Cardiology Clinics"
"CardiolRev","Cardiol. Rev.","Cardiology in Review"
"Cardioscience","Cardioscience","Cardioscience"
"CardiovascInterventRadiol","Cardiovasc. Intervent. Radiol.","Cardiovascular and Interventional Radiology"
"CardiovascClinTrials","Cardiovasc. Clin. Trials","Cardiovascular Clinical Trials"
"CardiovascClin","Cardiovasc. Clin.","Cardiovascular Clinics"
"CardiovascPathol","Cardiovasc. Pathol.","Cardiovascular Pathology"
"CardiovascRes","Cardiovasc. Res.","Cardiovascular Research"
"CareCritIll","Care Crit. Ill.","Care of the Critically Ill"
"CaribbeanJSci","Caribbean J. Sci.","Caribbean Journal of Science"
"CariesRes","Caries Res.","Caries Research"
"CasLekCesk","Cas. Lek. Cesk.","Casopis Lekaru Ceskych"
"CaspianJEnvironRes","Caspian J. Environ. Res.","Caspian Journal of Environmental Research"
"Cat","Cat","Catalogue"
"CathetCardiovascDiagn","Cathet. Cardiovasc. Diagn.","Catheterization and Cardiovascular Diagnosis"
"Cell","Cell","Cell"
"CellAdhesionComm","Cell Adhesion Comm.","Cell Adhesion and Communication"
"CellTissueRes","Cell Tissue. Res.","Cell and Tissue Research"
"CellBiochemBiophys","Cell Biochem. Biophys.","Cell Biochemistry and Biophysics"
"CellBiochemFunct","Cell Biochem. Funct.","Cell Biochemistry and Function"
"CellBiolToxicol","Cell Biol. Toxicol.","Cell Biology and Toxicology"
"CellBiolInt","Cell Biol. Int.","Cell Biology International"
"CellBiolIntRep","Cell Biol. Int. Rep.","Cell Biology International Reports"
"CellBiophys","Cell Biophys.","Cell Biophysics"
"CellCalcium","Cell Calcium.","Cell Calcium"
"CellCycle","Cell Cycle","Cell Cycle"
"CellDeathDiffer","Cell Death Differ.","Cell Death and Differentiation"
"CellGrowthDiffer","Cell Growth Differ.","Cell Growth and Differentiation"
"CellMotilCytoskeleton","Cell Motil. Cytoskeleton","Cell Motility and the Cytoskeleton"
"CellProlif","Cell Prolif.","Cell Proliferation"
"CellRegul","Cell Regul.","Cell Regulation"
"CellRes","Cell Res.","Cell Research"
"CellStructFunct","Cell Struct. Funct.","Cell Structure and Function"
"CellTransplant","Cell Transplant.","Cell Transplantation"
"CellMolBiol","Cell Mol. Biol.","Cellular and Molecular Biology"
"CellMolLifeSci","Cell Mol. Life Sci.","Cellular and Molecular Life Science"
"CellMolNeurobiol","Cell Mol. Neurobiol.","Cellular and Molecular Neurobiology"
"CellImmunol","Cell Immunol.","Cellular Immunology"
"CellMicrobiol","Cell Microbiol.","Cellular Microbiology"
"CellPharmacol","Cell Pharmacol.","Cellular Pharmacology"
"CellPhysiolBiochem","Cell Physiol. Biochem.","Cellular Physiology and Biochemistry"
"CellSignal","Cell Signal","Cellular Signalling"
"CellularSignalling","Cellular Signalling","Cellular Signalling"
"Cellule","Cellule","Cellule"
"CentAfrJMed","Cent. Afr. J. Med.","Central African Journal of Medicine"
"CentEurJImmunol","Cent. Eur. J. Immunol.","Central European Journal of Immunology"
"Cephalalgia","Cephalalgia","Cephalalgia"
"CerealResCommun","Cereal Res. Commun.","Cereal Research Communications"
"CerebralCortex","Cerebral Cortex","Cerebral Cortex"
"CerebrovascBrainMetabRev","Cerebrovasc. Brain Metab. Rev.","Cerebrovascular and Brain Metabolism Reviews"
"CerebrovascDis","Cerebrovasc. Dis.","Cerebrovascular Diseases"
"CeskEpidemiolMikrobiolImunol","Cesk. Epidemiol. Mikrobiol. Imunol.","Ceskoslovenska Epidemiologie, Mikrobiologie, Imunologie"
"CeskFarm","Cesk. Farm.","Ceskoslovenska Farmacie"
"CeskFysiol","Cesk. Fysiol.","Ceskoslovenska Fysiologie"
"CeskGynekol","Cesk. Gynekol.","Ceskoslovenska Gynekologie"
"CeskNeurolNeurochir","Cesk. Neurol. Neurochir.","Ceskoslovenska Neurologie A Neurochirurgie"
"CeskOftalmol","Cesk. Oftalmol.","Ceskoslovenska Oftalmologie"
"CeskPatol","Cesk. Patol.","Ceskoslovenska Patologie"
"CeskPediatr","Cesk. Pediatr.","Ceskoslovenska Pediatrie"
"CeskPsychiatr","Cesk. Psychiatr.","Ceskoslovenska Psychiatrie"
"CeskZdrav","Cesk. Zdrav.","Ceskoslovenske Zdravotnictvi"
"CeylonMedJ","Ceylon. Med. J.","Ceylon Medical Journal"
"ChangKengIHsueh","Chang Keng I Hsueh","Chang Keng I Hsueh [Chang Gung Medical Journal]"
"ChemHealthSafety","Chem. Health Safety","Chemical Health & Safety"
"ChemImmunol","Chem. Immunol.","Chemical Immunology"
"ChemResToxicol","Chem. Res. Toxicol.","Chemical Research in Toxicology"
"ChemRev","Chem. Rev.","Chemical Reviews"
"ChemSenses","Chem. Senses","Chemical Senses"
"ChemBiolInteract","Chem. Biol. Interact.","Chemico-Biological Interactions"
"ChemBiol","Chem. Biol.","Chemistry and Biology"
"ChemPhysLipids","Chem. Phys. Lipids","Chemistry and Physics of Lipids"
"ChemistryInt","Chemistry Int.","Chemistry International"
"Chemosphere","Chemosphere","Chemosphere"
"Chemotherapy","Chemotherapy","Chemotherapy"
"ChenTzuYenChiu","Chen Tzu Yen Chiu","Chen Tzu Yen Chiu [Acupuncture Research]"
"Chest","Chest","Chest"
"ChildAbuseNegl","Child Abuse Negl.","Child Abuse and Neglect"
"ChildAdolescPsychiatrClinNAm","Child Adolesc. Psychiatr. Clin. N. Am.","Child and Adolescent Psychiatry Clinics of North America"
"ChildFamilySocialWork","Child Family Social Work","Child and Family Social Work"
"ChildDev","Child Dev.","Child Development"
"ChildNephrolUrol","Child Nephrol. Urol.","Child Nephrology and Urology"
"ChildPsychiatryHumDev","Child Psychiatry. Hum. Dev.","Child Psychiatry and Human Development"
"ChildWelfare","Child Welfare","Child Welfare"
"ChildCareHealthDev","Child Care Health Dev.","Child: Care, Health and Development"
"ChildToday","Child Today","Children Today"
"ChildsNervSyst","Childs Nerv. Syst.","Childs Nervous System"
"ChinBullBot","Chin. Bull. Bot.","Chinese Bulletin of Botany"
"ChinJApplEcol","Chin. J. Appl. Ecol.","Chinese Journal of Applied Ecology"
"ChinJAstronAstrop","Chin. J. Astron. Astrophys.","Chinese Journal of Astronomy and Astrophysics"
"ChinJBiotechnol","Chin. J. Biotechnol.","Chinese Journal of Biotechnology"
"ChinJPhysiol","Chin. J. Physiol.","Chinese Journal of Physiology"
"ChinMedSciJ","Chin. Med. Sci. J.","Chinese Medical Sciences Journal"
"Chirality","Chirality","Chirality"
"ChiropreacticTechnique","Chiropreactic Technique","Chiropractic Technique"
"Chirurg","Chirurg","Chirurg"
